# ITK-SnAP Label Description File
0		0     0    0    0   0
1		1   255    0    0   255
2   	2     0  255    0   255
3   	3     0    0  255   255
4   	4   255  255    0   255
5   	5     0  255  255   255
6   	6   255    0  255   255
7   	7   255  239  213   255
8   	8     0    0  205   255
9   	9   205  133   63   255
10  	10   210  180  140  255
11  	11   102  205  170  255
12  	12     0    0  128  255
13  	13     0  139  139  255
14  	14    46  139   87  255
15  	15   255  228  225  255
16  	16   106   90  205  255
17  	17   221  160  221  255
18  	18   233  150  122  255
19  	19   165   42   42  255
20  	20   255  250  250  255
21  	21   147  112  219  255
22  	22   218  112  214  255
23  	23    75    0  130  255
24  	24   255  182  193  255
25  	25    60  179  113  255
26  	26   255  235  205  255
27  	27   255  228  196  255
28  	28   218  165   32  255
29  	29     0  128  128  255
30  	30   188  143  143  255
31  	31   255  105  180  255
32  	32   255  218  185  255
33  	33   222  184  135  255
34  	34   127  255    0  255
35  	35   139   69   19  255
36  	36   124  252    0  255
37  	37   255  255  224  255
38  	38    70  130  180  255
39  	39     0  100    0  255
40  	40   238  130  238  255
41  	41   238  232  170  255
42  	42   240  255  240  255
43  	43   245  222  179  255
44  	44   184  134   11  255
45  	45    32  178  170  255
46  	46   255   20  147  255
47  	47    25   25  112  255
48  	48   112  128  144  255
49  	49    34  139   34  255
50  	50   248  248  255  255
51  	51   245  255  250  255
52  	52   255  160  122  255
53  	53   144  238  144  255
54  	54   173  255   47  255
55  	55    65  105  225  255
56  	56   255   99   71  255
57  	57   250  240  230  255
58  	58   128    0    0  255
59  	59    50  205   50  255
60  	60   244  164   96  255
61  	61   255  255  240  255
62  	62   123  104  238  255
63  	63   255  165    0  255
64  	64   173  216  230  255
65  	65   255  192  203  255
66  	66   127  255  212  255
67  	67   255  140    0  255
68  	68   143  188  143  255
69  	69   220   20   60  255
70  	70   253  245  230  255
71  	71   255  250  240  255
72  	72     0  206  209  255
73  	73     0  255  127  255
74  	74   128    0  128  255
75  	75   255  250  205  255
76  	76   250  128  114  255
77  	77   148    0  211  255
78  	78   178   34   34  255
79  	79   255  127   80  255
80  	80   135  206  235  255
81  	81   100  149  237  255
82  	82   240  230  140  255
83  	83   250  235  215  255
84  	84   255  245  238  255
85  	85   107  142   35  255
86  	86   135  206  250  255
87  	87     0    0  139  255
88  	88   139    0  139  255
89  	89   245  245  220  255
90  	90   186   85  211  255
91  	91   255  228  181  255
92  	92   255  222  173  255
93  	93     0  191  255  255
94  	94   210  105   30  255
95  	95   255  248  220  255
96  	96    47   79   79  255
97  	97    72   61  139  255
98  	98   175  238  238  255
99  	99   128  128    0  255
100 	100   176  224  230 255
101 	101   255  240  245 255
102 	102   139    0    0 255
103 	103   240  255  255 255
104 	104   255  215    0 255
105 	105   216  191  216 255
106 	106   119  136  153 255
107 	107   219  112  147 255
108 	108    72  209  204 255
109 	109   255    0  255 255
110 	110   199   21  133 255
111 	111   154  205   50 255
112 	112   189  183  107 255
113 	113   240  248  255 255
114 	114   230  230  250 255
115 	115     0  250  154 255
116 	116    85  107   47 255
117 	117    64  224  208 255
118 	118   153   50  204 255
119 	119   205   92   92 255
120 	120   250  250  210 255
121 	121    95  158  160 255
122 	122     0  128    0 255
123 	123   255   69    0 255
124 	124   224  255  255 255
125 	125   176  196  222 255
126 	126   138   43  226 255
127 	127    30  144  255 255
128 	128   240  128  128 255
129 	129   152  251  152 255
130 	130   160   82   45 255
